game_name,min_cpu,min_gpu,min_ram,min_dx,min_os,min_sto,min_net,rec_cpu,rec_gpu,rec_ram,rec_dx,rec_os,rec_sto,rec_net
We Are The Dwarves,Intel Core 2 Duo or AMD equivalent,NVIDIA GeForce GTX 460 or Radeon HD 5770 (512 MB VRAM),4 GB RAM,Version 9.0c,Windows 7/8/8.1/10 (64 bit),10 GB available space,,Intel i5 series or AMD equivalent,NVIDIA GeForce GTX 560 or Radeon HD 6870 (1 GB VRAM),8 GB RAM,Version 9.0c,Windows 7/8/8.1/10 (64 bit),10 GB available space,
We are the Plague,Dual core from Intel or AMD at 2.8 GHz,"nVidia 320M or higher, or Radeon 7000 or higher, or Intel HD 3000 or higher",4 GB RAM,Version 9.0c,"Windows 7, 64-bit",,,,,,,,,
We Happy Few,"Triple-core Intel or AMD, 2.0 GHz or faster",NVIDIA GeForce 460 GTX or AMD Radeon 5870 HD series or higher Mobile: NVIDIA GeForce GTX 580M or higher,8 GB RAM,Version 11,"64 bit, Windows 7 and above",6 GB available space,,"Quad-core Intel or AMD, 2.5 GHz or faster",NVIDIA GeForce 660 GTX or AMD Radeon 7870 HD series or higher,8 GB RAM,Version 11,"64 bit, Windows 7 and above",6 GB available space,
We Need to Go Deeper,"Intel® Core™ i5-2450M Processor (3M Cache, up to 3.10 GHz) or Better",Intel(R) HD Graphics 3000 or better,4 GB RAM,Version 9.0c,Windows Vista or Later,1400 MB available space,,,,,,,,
We Stay Behind,,,,,,,,,,,,,,
We Were Here,i3-4130 or equivalant,Intel(R) HD Graphics 4000 or equivalant,4 GB RAM,Version 9.0c,Windows 7 32/64 bit,4 GB available space,Broadband Internet connection,Intel Core i5-4460,Nvidia GTX 960 equivalant or higher or a Nvidia GTX 1060 for VR,8 GB RAM,Version 11,Windows 10 64 bit,4 GB available space,Broadband Internet connection
We Were Here Forever,Intel Core i3 4000 series or equivalent,"Nvidia GTX 750 TI or equivalent, integrated graphics not supported",6 GB RAM,Version 11,Windows 10 64 bit,25 GB available space,Broadband Internet connection,Intel Core i5 4000 series or equivalent,"Nvidia GTX 970 or equivalent, integrated graphics not supported",8 GB RAM,Version 12,Windows 10 64 bit,25 GB available space,Broadband Internet connection
We Were Here Together,Intel Core i3 4000 series or equivalent,"Nvidia GTX 750 or equivalent, integrated graphics not supported",4 GB RAM,Version 11,Windows 7/8/8.1/10 64 bit,20 GB available space,Broadband Internet connection,Intel Core i5 4000 series or equivalent,"Nvidia GTX 970 or equivalent, integrated graphics not supported",8 GB RAM,Version 11,Windows 7/8/8.1/10 64 bit,20 GB available space,Broadband Internet connection
We Were Here Too,Intel Core i3 2100 or equivalent,Nvidia GTX 460 or equivalent,4 GB RAM,Version 11,Windows 7 32 bit,5 GB available space,Broadband Internet connection,Intel Core i5 2500k or equivalent,Nvidia GTX 750ti or equivalent,8 GB RAM,Version 11,Windows 7/10 64 bit,5 GB available space,Broadband Internet connection
We. The Revolution,3.0 GHz Dual-Core - Intel Core 2 Duo E8400,"512 MB VRAM, Intel HD 4400 / NVIDIA GeForce 9600GT / AMD Radeon HD 3850",4 GB RAM,Version 11,Windows 7 SP1 / 8.1 / 10,4 GB available space,,3.1 GHz Dual-Core - Intel i3 2100,"1 GB VRAM, NVIDIA GeForce GTX 550 Ti / AMD Radeon HD 5850",6 GB RAM,Version 11,Windows 7 SP1 / 8.1 / 10,4 GB available space,
Weakless,Intel i3 6th gen,GeForce GTX 650 Ti,8 GB RAM,,Windows 7 SP1 64-bit or later,4 GB available space,,,,,,,,
Weedcraft Inc,Intel Core i3-4160 (2 * 3600) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,GeForce GTX 460 (1024 MB) / Radeon R7 260X (2048 MB) / Intel HD 530,4 GB RAM,Version 10,"Windows 7, 8, 8.1, 10 - 64bit",6 GB available space,,Intel Core i7-6700 (4 * 3400) or equivalent / AMD FX-9370 (8 * 4400) or equivalent,GeForce GTX 1060 (6144 MB) / Radeon R9 290X (4096 MB),8 GB RAM,Version 10,"Windows 7, 8, 8.1, 10 - 64bit",6 GB available space,
Weird West,Intel Core i5-2380 or equivalent / AMD FX-6100 (6 * 3300) or equivalent,GeForce GTX 650 Ti (1024 MB) / Radeon HD 7770 (1024 MB) or equivalent,6 GB RAM,,"Windows 10, 64-bit",16 GB available space,,Intel Core i7-6950X (10 * 3000) or equivalent / AMD Ryzen 7 2700 (8 * 3200) or equivalent,GeForce GTX 1050 (2048 VRAM) / Radeon RX 460 (4096 MB) or equivalent,12 GB RAM,,"Windows 10, 64-bit",16 GB available space,
Weird Worlds: Return to Infinite Space,Pentium II 600MHz,Intel GMA 950,128 MB RAM,8,Windows XP,45 MB HD space,,Intel Core2 duo or better,NVidia GeForce 8 series or better,512 MB RAM,9,"Windows XP, Vista, Win7",60 MB HD space,
Welcome to Hanwell,"Quad-core Intel or AMD processor, 2.5 GHz or faster",NVIDIA GeForce GTX 470 or AMD Radeon 6870 HD series card or higher,8 GB RAM,Version 11,Windows 7,16 GB available space,,"Quad-core Intel or AMD processor, 3 GHz or faster",NVIDIA GeForce GTX 970 or AMD Radeon R9 290 series card of higher,8 GB RAM,Version 11,Windows 10,16 GB available space,
Welkin Road,Intel Core 2 Q6600,GeForce GTX 275,4 GB RAM,Version 9.0,Windows XP SP2 64-bit,4 GB available space,,,,,,,,
Wenjia,Intel Core2 Duo E6400 @ 2.13GHz,GeForce GT 730 OR Radeon HD 4830,2 GB RAM,Version 9.0,Windows 7,2 GB available space,,Intel Core i5-2300,GeForce GTX 650 OR Radeon HD 7750,4 GB RAM,Version 11,Windows 10,4 GB available space,
Werewolf: The Apocalypse - Earthblood,Intel Core i5-3470 | AMD FX-8370,"Nvidia GeForce GTX 650, 1 GB | AMD Radeon HD 7790, 1 GB",4 GB RAM,Version 11,"Windows 10, 64-bit",12 GB available space,,Intel Core i7-8700 | AMD Ryzen 5 3600X,"Nvidia GeForce GTX 780, 3 GB | AMD Radeon R9 290, 4 GB",8 GB RAM,Version 11,"Windows 10, 64-bit",12 GB available space,
Werewolf: The Apocalypse - Heart of the Forest,Dual core or better,Intel® HD 4400 or better,4 GB RAM,Version 11,"Windows 7, 8.1, 10 (64-bit)",4 GB available space,,,,,,,,
Werewolves Within,"Intel® i5-4590, AMD FX 8350 equivalent or better","NVIDIA GeForce® GTX 970, AMD Radeon™ R9 290 equivalent or better",4 GB RAM,,"Windows 7 SP1, Windows 8.1 or Windows 10",,,,,,,,,
West of Dead,Intel i5-4460 / AMD FX-8350,Nvidia Geforce GTX 1030 / Radeon RX 550,4 GB RAM,,Windows 7,1 GB available space,,Intel Core i5-9400 / AMD Ryzen 5 3400G,Nvidia Geforce GTX 1060 / Radeon RX 580,8 GB RAM,Version 11,Windows 10,1 GB available space,
West of Loathing,2.8 GHz Intel® Core™2 Duo or better,512 MB,2 GB RAM,,Windows XP SP2+,4 GB available space,,3.3 GHz Intel® Core™2 Duo or better,1 GB,4 GB RAM,,Windows 7 SP1+,4 GB available space,
Westerado: Double Barreled,Dual Core 2.4 Ghz,(Any),2 GB RAM,,Windows 7,,,,,,,,,
Western 1849 Reloaded,Intel Core 2 Duo or AMD equivalent,GeForce GTX 460 or Radeon equivalent,1 GB RAM,,Windows® XP (SP3) / Vista™ (SP1) / 7,1 GB available space,,,,,,,,
Westworld Awakening,Intel i5-6400,NVIDIA GeForce GTX 970,8 GB RAM,,"Windows 10, 64-bit",17 GB available space,,Intel i7-4770,NVIDIA GeForce GTX 1070 / AMD Radeon R9 Fury X,16 GB RAM,,"Windows 10, 64-bit",17 GB available space,
Whalefall,Intel Core 2 Duo E4700 2.6 GHz or AMD,"1GB ATI Radeon HD 5770, 1GB NVIDIA GeForce GTX 460 or better",4 GB RAM,,"Windows® 7, 64-bit",45 GB available space,,3GHz Quad Core,"2GB ATI Radeon HD 7970, 2GB NVIDIA GeForce GTX 770 or better",8 GB RAM,,"Windows® 7, 64-bit",45 GB available space,
What Never Was,"Dual Core Processor, 2.5 GHz or higher",DX11 compatible video card,4 GB RAM,Version 11,Windows 7 64-bit (requires 64 bit OS),700 MB available space,,,,,,,,
What Remains of Edith Finch,Intel i3 2125 3.30 GHz or later,GeForce GTX 750/AMD Radeon 7790 or later,2 GB RAM,,Windows Vista SP2 64-bit or later,5 GB available space,,,,,,,,
WHAT THE GOLF?,Intel Core2 Duo E8400,Radeon HD 3870,2 GB RAM,Version 9.0c,Windows 7 (64-bit) (Recommended: Windows 10),500 MB available space,,,,,,,,
Wheelman,2.0 GHz Dual Core (2.4 GHz for Vista),Nvidia Geforce 7800 or better / AMD X1800 XT or better,2 GB (3 GB for Vista),,Windows XP (SP2) or Windows Vista,15 GB,,,,,,,,
Wheels of Aurelia,2.0GHz CPU,512MB graphics card,2 GB RAM,,Windows XP SP3 +,500 MB available space,,,,,,,,
Where Cards Fall,Intel Core 2 Duo E8400 | AMD Phenom II X2 550,"Nvidia GeForce GTS 250, 1 GB | ATI Radeon HD 5670, 1 GB",4 GB RAM,Version 11,Windows 7,2 GB available space,,Intel Core i5-2300 | AMD FX-4350,"Nvidia GeForce GTX 560, 1 GB | AMD Radeon HD 6950, 2 GB",4 GB RAM,Version 11,Windows 10,2 GB available space,
Where the Water Tastes Like Wine,Intel Core2 Duo E4500 (2 * 2200) or equivalent/AMD Athlon 64 X2 4200+ (2 * 2200) or equivalent,GeForce 8500 GT (512 MB)/Radeon HD 4350 (512 MB),1 GB RAM,Version 9.0c,"Windows 7, 8, 10",6 GB available space,,,,,,,,
Where Winds Meet,,,,,,,,,,,,,,
while True: learn(),2.0 GHz,Intel HD Graphics 3000,2 GB RAM,Version 9.0,Windows Vista / 7 / 8 / 10 / 11,500 MB available space,,,,,,,,
Whispered World,2.0 GHz processor,"256 MB graphics card, DirectX 9.0 compatible",1 GB RAM,DirectX 9.0,Windows 7/Vista/XP/2000,3 GB free hard disc space,,,,,,,,
Whispering Willows,2 cpus 2.3 Ghz to 2.69 Ghz,Intel HD Graphics 4000 or higher,4 GB RAM,,Windows 7,3 GB available space,,,,,,,,
White Night,Intel Core 2 Duo E6750 2.66 GHz or AMD Athlon 64 X2 6000+ 2.60 GHz,Geforce GTS 250 or Radeon HD 4770,2 GB RAM,Version 9.0c,Windows Vista,2 GB available space,,,,,,,,
White Noise 2,Dual Core processor,DirectX 10 capable hardware,2 GB RAM,Version 9.0c,Windows XP SP3,1 GB available space,,Quad core processor,GeForce 660 or better,(4 GB RAM),Version 11,Windows 7 or newer,1 GB available space,Broadband Internet connection
White Shadows,,,8 GB RAM,Version 11,Windows 10,10 GB available space,,,,,,,,
Who Must Die,Core I5 6600k,GTX 760,2 GB RAM,Version 10,Windows 10,1 GB available space,,Core I7 7700k,GTX 780,4 GB RAM,Version 10,Windows 10,1 GB available space,
Who's that Flying?!,2Ghz or Higher,,1 Gb,,Windows XP,400 mb,,,,,,,,
Who's Your Daddy?!,2 GHz,GeForce 460/Radeon HD 5850/Intel HD 4600 with at least 1024 MB video RAM,4 GB RAM,Version 9.0c,Windows XP 64,1 GB available space,Broadband Internet connection,,,,,,,
Wick,2.0 GHz Dual Core CPU,512 MB NVIDIA GeForce 9800GTX / ATI Radeon HD 3xxx series,2 GB RAM,Version 9.0c,Windows XP,1 GB available space,,2.8 GHz Quad Core CPU,1GB NVIDIA GTX 460 / ATI Radeon HD 6850 or better,4 GB RAM,Version 9.0c,Windows 7,1 GB available space,
Wild Buster: Heroes of Titan,Intel i3 or equivalent,Geforce 560 GT or equivalent,4 GB RAM,Version 11,Win 7 (64bit) or higher,5 GB available space,,Intel i5 or equivalent,Geforce GTX 750 or equivalent,8 GB RAM,Version 11,Win 7 (64bit) or higher,5 GB available space,
Wild Frontera,2.4 GHz Dual Core,512 MB NVIDIA GeForce 9800 / ATI Radeon HD 2600 XT,2 GB RAM,Version 10,Windows Vista / Windows 7,1 GB available space,,1.8 GHz Quad Core CPU,1 GB NVIDIA 460 / AMD Radeon 5870 or better,4 GB RAM,Version 10,Windows Vista / Windows 7,1 GB available space,
Wild Glory,Intel Core 2 Quad Q9650 (Recommended: Intel Core i3 500),512MB Video Memory,2 GB RAM,Version 9.0c,"Windows Vista, 7, 8, 10",128 MB available space,,,,,,,,
Wild Guns Reloaded,Dual-core processor running at 2.0GHz or higher,"DirectX® 11 supported GPU (GeForce GTX 400 series, or Radeon HD 6000 series)",1 GB RAM,Version 11,Windows 7 / 8 / 10,1 GB available space,Broadband Internet connection,,,,,,,
WILD HEARTS,Intel Core i5-8400 / AMD Ryzen 5 2600,GeForce GTX 1060 (VRAM 6GB) / Radeon RX 5500 XT (VRAM 8GB),12 GB RAM,Version 12,64 bit Windows 10,80 GB available space,Broadband Internet connection,Intel Core i7-8700K / AMD Ryzen 5 3600,GeForce RTX 2070 (VRAM 8GB) / Radeon RX 5700 XT (VRAM 8GB),16 GB RAM,Version 12,64 bit Windows 10,80 GB available space,Broadband Internet connection
Wild Light: Darkest Isles,Core i3,256 MB graphics memory and directx 9.0c compatible gpu,2 GB RAM,Version 9.0c,Windows 7 or later,100 MB available space,,Core i5,Discrete GPU capable of directx 11.0c,4 GB RAM,Version 11,Windows 10 or later,100 MB available space,
Wild Unknown,Intel Core i5,NVIDIA GeForce GTX 560 Ti / AMD Radeon HD 6850,4 GB RAM,Version 11,Windows 64-bit,4 GB available space,Broadband Internet connection,,,,,,,
Wild West Dynasty,"Intel Core i5-6600 (3.3 GHz), AMD Ryzen 5 1400 (3.2 GHz)","NVIDIA GeForce GTX 1060, AMD Radeon RX 590",16 GB RAM,Version 11,Windows 10 (x64),30 GB available space,,"Intel Core i7-8700 (3.2 GHz), AMD Ryzen 5 3600 (3.6 GHz)","NVIDIA GeForce 1080 Ti, AMD Radeon RX 5700 XT",16 GB RAM,Version 11,Windows 10 (x64),30 GB available space,
Wild West Online,"Intel Core i5-2400 | AMD FX-6100, or better","NVIDIA GTX 460 2 GB VRAM | AMD Radeon HD 7770 2 GB VRAM, or better",6 GB RAM,Version 11,"Windows 7 64 bit, Windows 8.1 64 bit",12 GB available space,Broadband Internet connection,Intel Core i7-4770 or better,NVIDIA GTX 1080 8GB RAM,8 GB RAM,Version 12,Windows 10 (64-bit versions),25 GB available space,Broadband Internet connection
Wildcat Gun Machine,"Intel® Core™ i5-6xxx, AMD FX™-6300",NVIDIA® GeForce® GTX 750 or AMD Radeon™ R7 265,8 GB RAM,Version 11,"Windows 8.1, 10 or 11 64bit",8 GB available space,,"Intel® Core™ i7-5xxx, AMD FX™-8370, or better","NVIDIA® GeForce® GTX 970, AMD Radeon™ RX 480 with 8GB VRAM",16 GB RAM,Version 11,Windows 10 or 11 64bit,8 GB available space,
Wildermyth,i3 or better,Open GL 3.2,3 GB RAM,,"Windows 7+, 64-bit",2 GB available space,,,,,,,,
Wildfire,Intel Core i5-2300 / AMD FX-4350,DX10 Adapter with 512 MB VRAM,2 GB RAM,Version 9.0c,Windows 7,310 MB available space,,,,,,,,
Wildlife Park 2,Intel Pentium IV 2 GHz or compatible,"DirectX 8.1 compatible with 64 MB RAM, Pixel- and Vertex-Shader 1.1",512 MB,DirectX 8.1,Windows 2000 or Windows XP,1.5 GB,,,,,,,,
Wildman,,,,,,,,,,,,,,
Wildmender,Ryzen 5 3600 or Equivalent,GeForce GTX 1050 Ti 6GB or Equivalent,8 GB RAM,Version 11,"Windows 7, 8, 8.1, 10, 11 x64",8 GB available space,Broadband Internet connection,Intel i5-9600K @ 3.7GHz or equivalent,Nvidia GTX 1660 or Equivalent,16 GB RAM,Version 11,"Windows 10, 11 64-bit",8 GB available space,Broadband Internet connection
WildStar,"Intel® Pentium® Core2 Duo 2.4 GHz, AMD Phenom™ X3 2.3 GHz, or better","NVIDIA GeForce® 8800 GT, ATI® Radeon® HD 3850, or better",4GB,,Windows® XP SP3 (32-bit) or later,30GB free HDD space,,"Intel® Core™ i5 Quad Core 2.66GHz or better, AMD Phenom™ II X4 3GHz, or better","Radeon® HD 5830, or better",8GB,,Windows Vista® (64-bit) or later,30GB free HDD space,
Willy-Nilly Knight,Intel Core2 Duo E6600 or equivalent,NVIDIA® GeForce® GTX 550 or ATI™ equivalent,2048 MB RAM,Version 9.0c,Windows 7 SP1 64-bit or higher,3 GB available space,,Intel i5 2400 or higher,NVIDIA® GeForce® GTX 660 or ATI™ equivalent,4096 MB RAM,Version 11,Windows 7 SP1 64-bit or higher,3 GB available space,
Win That War!,Core i3 5th generation / i5 3nd generation,DirectX 10 dedicated GPU,4 GB RAM,Version 10,Windows (64bits only) 7 / 8 / 8.1 / 10,1 GB available space,Broadband Internet connection,Core i5 4th generation,NVidia GTX 660 / AMD R9 2xx,8 GB RAM,Version 10,Windows (64bits only) 7 / 8 / 8.1 / 10,1 GB available space,Broadband Internet connection
Wincars Racer,2.4 ghz Dual Core,GT 630 or higher,4 GB RAM,Version 9.0c,Windows 7 (64-bits version) or newer,10 GB available space,Broadband Internet connection,Intel Core i3 or higher,GTX 660 or higher,8 GB RAM,Version 9.0c,Windows 7 (64-bits version) or newer,10 GB available space,Broadband Internet connection
Windbound,2.4ghz Intel Core 2 Duo or equivalent,"Intel HD Graphics 4600, NVIDIA GeForce GTX 630, Radeon HD 5670",4 GB RAM,Version 11,Windows 10/7/8/8.1/Vista (64 bit),4 GB available space,,2.66GHz Intel Core i7,"Intel HD Graphics 5200, NVIDIA GeForce GTX 750, Radeon HD 7800",6 GB RAM,Version 11,Windows 10/7/8/8.1/Vista (64 bit),4 GB available space,
Windjammers 2,Intel i5+,NVIDIA GTX 960 / Radeon HD 5750 or better,4 GB RAM,,"Windows 7+, 64-bit",,,,,,,,,
Windlands,Dual Core 2.33 GHz Intel or 3.0 GHz AMD,"Geforce GTX 8800, AMD Radeon 4850 or Intel HD Graphics 5200 or better (1GB graphics memory or more. Shader Model 3.0 needs to be supported).",4 GB RAM,Version 11,Windows 7 SP1 or newer,3 MB available space,,Intel i5-4590 equivalent or greater,NVIDIA GTX 970 / AMD 290 equivalent or greater,8 GB RAM,Version 11,Windows 7 SP1 or newer,3 GB available space,
Windscape,Intel i3 or AMD equivalent,(Any),4 GB RAM,,Windows 7/8/10,2 GB available space,,"Intel i5, 4 x 2.6 GHz or AMD equivalent",NVIDIA GeForce GTX 480 or ATI Radeon HD 5850,4 GB RAM,,Windows 7/8/10,2 GB available space,
Wings of Prey,Intel Pentium 4 3200MHz,NVIDIA GeForce 7600 256 Mb or ATI Radeon X1650 256 Mb,1 GB Ram,DirectX® 9.0c or higher,Microsoft Windows XP SP3,7 Gb free disk space,Internet connection: 56 kb/s,Intel Core 2 Duo 2400 MHz,NVIDIA GeForce GTS 250 512 Mb or ATI Radeon 4850 512 Mb,2 GB Ram,DirectX® 9.0c or higher,"Windows XP SP3, Vista, Windows 7",7 Gb free disk space,Internet connection: 512 Kb/s
Winter Ember,Intel® Core™ i5-6400,NVIDIA® GeForce® GTX 960,8 GB RAM,Version 12,Windows 10 (64-bit),10 GB available space,,Intel® Core™ i5-7400,NVIDIA® GeForce® GTX 1060,8 GB RAM,Version 12,Windows 10 (64-bit),10 GB available space,
Witch,Core i5 2.8 Ghz,Nvidia GTX 660 or AMD Radeon HD 7870 equivalent DX11 GPU,4 GB RAM,,Windows 7/8/10 64-bit,8 GB available space,,,,,,,,
Witch Hunt,"Intel Core 2 Quad, Intel Core 2 Duo e8500",Nvidia GeForce GT 710 (1GB),4 GB RAM,Version 11,"Windows Vista, 7, 8, 10 (64-BIT Required)",5 GB available space,,Intel Core i5-2500k,Nvidia GeForce GTX 780 (3GB) / AMD R9 290 (4GB),6 GB RAM,Version 11,"Windows Vista, 7, 8, 10 (64-BIT Required)",5 GB available space,
Witch It,"Intel Core i3, 2.4GHz",NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,4 GB RAM,Version 11,Windows 7.1 SP1 / Windows 8.1/Windows 10 (64-bit Operating System Required),5 GB available space,Broadband Internet connection,"Intel Core i5, 2.8GHz",NVIDIA GeForce GTX 970 / AMD R9 390,8 GB RAM,Version 11,Windows 7.1 SP1 / Windows 8.1/Windows 10 (64-bit Operating System Required),5 GB available space,Broadband Internet connection
WitchBrook,Quad-core CPU,DX11 compatible video card with at least 4 GB VRAM,4 GB RAM,,"Windows 10+, 64-bit only",2 GB available space,,,,,,,,
Witchfire,Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz (4 cores),NVIDIA GTX 1050 Ti,8 GB,DirectX 12,Windows 7 64-bit,,,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz (6 cores),NVIDIA GeForce GTX 1060 6GB,16 GB,DirectX 12,Windows 10 or later 64-bit,,
Witchkin,,,,,Windows 10,,,,,,,,,
With Your Destiny,Pentium III 800Mhz,64MB 3D Video Card,256MB RAM,DirectX 9.0c or above,,1 GB free hard drive space,Internet connection,Intel Pentium IV 1.7 GHz or AMD Athlon equivalent,128 MB or greater support Direct 3D capable video card,512 MB or more of RAM,DirectX 9.0c or above,,1 GB free hard drive space,Internet connection
Within Whispers: The Fall,Core 2 Duo 2GHz or equivalent,ATI or NVidia card w/ 512 MB RAM,3 GB RAM,Version 9.0c,"Windows 7, 64-bit",2 GB available space,,intel i5,ATI or NVidia card w/ 2048 MB RAM,4 GB RAM,Version 12,"Windows 10, 64-bit",2 GB available space,
Wizard Hunter 2348,Intel i3,Intel HD integrated graphics,512 MB RAM,,Windows,80 MB available space,,Intel i7,,1 GB RAM,,Windows 7 or 8,80 MB available space,
Wizard of Legend,Intel Core i3,(Any),4 GB RAM,Version 9.0c,Windows 7 or later,1 GB available space,,,,,,,,
Wizard with a Gun,Intel Core i3-4160 / AMD FX-4300,GeForce GT 640 / Radeon HD 7750 / Intel UHD Graphics 620,8 GB RAM,Version 11,Windows 7 x64,2 GB available space,,Intel Core i5-7600k / AMD FX-9590,GeForce GTX 1060 / Radeon R9 390X / Intel Arc A750,12 GB RAM,Version 11,Windows 10 x64,2 GB available space,
Wizardry Online,Intel Core2 Duo E6000,GeForce 8600 GT,2GB,,Windows XP (SP3) / Windows Vista (SP2) / Windows 7(SP1),8GB,,Intel Core2 Duo E8400,GeForce GTS 250,2GB,,Windows XP (SP3) / Windows Vista (SP2) / Windows 7(SP1),8GB,
Wo Long: Fallen Dynasty,"Intel® Core™ i5-8400, AMD Ryzen™ 5 3400G","GeForce GTX 1650 4GB, Radeon RX 570 4GB",8 GB RAM,Version 12,"Windows® 10, Windows® 11, 64bit",60 GB available space (HDD),Broadband Internet connection,"Intel® Core™ i7-8700, AMD Ryzen™ 5 3600XT","GeForce RTX 2060 6GB, Radeon RX 5700 XT 8GB",16 GB RAM,Version 12,"Windows® 10, Windows® 11, 64bit",60 GB available space (HDD),Broadband Internet connection
Wolcen: Lords of Mayhem,Intel Core i5-4570T 2.9 GHz / AMD FX-6100 3.3 GHz,NVIDIA GeForce GTX 560 Ti / AMD Radeon HD 6850,8 GB RAM,Version 11,"Windows 7 64-Bit SP1, Windows 8.1 64-Bit, Windows 10 64-Bit",18 GB available space,,Intel Core i7-4770S 3.1 GHz / AMD FX-8320 3.5 GHz,NVIDIA GeForce GTX 1060 / AMD Radeon RX 570,16 GB RAM,Version 11,"Windows 7 64-Bit SP1, Windows 8.1 64-Bit, Windows 10 64-Bit",18 GB available space,
Wolfenstein,Intel(R) Pentium(R) 4 3.2 GHz or AMD Athlon(TM) 64 3400+ processor,256MB NVIDIA(R) Geforce(R) 6800 GT or ATI Radeon(TM) X800,1GB RAM,Microsoft DirectX(R) 9.0c (included & required for Windows XP & Vista),Microsoft(R) Windows(R) XP or Windows Vista(R) (Windows 95/98/ME/2000 are unsupported),8GB (Plus an additional 800MB for Windows swap file),,,,,,,,
Wolfenstein 3D,IBM 286 Computer,,528k of conventional memory,,,3 meg of Hard Drive Space (for shareware) 8 meg of Hard Drive Space (for registered),,,,,,,,
Wolfenstein II: The New Colossus,AMD FX-8350/Ryzen 5 1400 or Intel Core i5-3570/i7-3770,Nvidia GTX 770 4GB/AMD Radeon R9 290 4GB or better,8 GB RAM,,"Win7, 8.1, or 10 (64-Bit versions)",55 GB available space,,AMD FX-9370/Ryzen 5 1600X or Intel Core i7-4770,Nvidia GTX 1060 6GB/AMD Radeon RX 470 4GB or better,16 GB RAM,,"Win7, 8.1, or 10 64-Bit",55 GB available space,
Wolfenstein III,,,,,,,,,,,,,,
Wolfenstein: Cyberpilot,Intel Core i5-4590 or AMD FX 8350 or better,Nvidia GeForce GTX 1070 / AMD RX Vega 56 or better,8 GB RAM,,Windows 7/8.1/10 (64-bit versions),30 GB available space,,Intel Core i7-6700K or AMD Ryzen 5 1600X,Nvidia GeForce GTX 1080 / AMD RX Vega 64,16 GB RAM,,Windows 7/8.1/10 (64-bit versions),30 GB available space,
Wolfenstein: Enemy Territory,Intel® Pentium® III 600Mhz processor or AMD equivalent,32 MB 100% fully OpenGL® compliant 3-D video card*,128 MB RAM,Microsoft® DirectX® 8.1 or higher (not included),Windows® 98/ME/2000/XP OS (Windows NT 4.0 not recommended for clients),271 MB free hard disk space for game files 500 MB free hard disk space for swap files,"For internet play, 100% Windows® 98/ME/2000/XP compatible 56.6k modem or better internet connection. 56.6k modem play is not recommended for games with more than 8 players total; broadband players should be able to handle up to 32 depending on their connection with the server on which they're playing.",,,,,,,
Wolfenstein: The New Order,Intel Core i7 or equivalent AMD,"GeForce 460, ATI Radeon HD 6850",4 GB RAM,,64-bit Windows 7/Windows 8,50 GB available space,,,,,,,,
Wolfenstein: The Old Blood,Intel® Core™ i5-2500 @ 3.3 GHz / AMD FX-8320 @ 3.5 GHz,NVIDIA® GeForce® GTX 560 / AMD Radeon™ HD 6870 (1GB VRAM),4 GB RAM,,64-bit Windows 7/Windows 8,38 GB available space,,Intel® Core™ i7 / AMD FX-8350,NVIDIA® GeForce® GTX 660 / AMD Radeon™ R9 280 (3GB or more VRAM),8 GB RAM,,64-Bit Windows 7/Windows 8,38 GB available space,
Wolfenstein: Youngblood,AMD FX-8350/Ryzen 5 1400 or Intel Core i5-3570/i7-3770,Nvidia GTX 770 4GB (Current available GPU GTX 1650) or AMD equivalent,8 GB RAM,,"Win7, 8.1, or 10 (64-Bit versions)",40 GB available space,,AMD FX-9370/Ryzen 5 1600X or Intel Core i7-4770,Nvidia GTX 1060 6GB (Current available GPU RTX 2060) or AMD equivalent,16 GB RAM,,"Win7, 8.1, or 10 64-Bit",40 GB available space,
Wolfschanze II,Intel Pentium IV at 2.4 GHz,256 MB VRAM – nVidia GeForce 8600 / ATI Radeon HD2400,1 GB RAM,DirectX 9.0c,Microsoft Windows XP / Windows Vista,4 GB of free Hard Drive Space,,,,,,,,
Wolfstride,Intel Core i5-7400 / AMD Ryzen 3 1200,NVIDIA GeForce GTX 1050ti / AMD Radeon RX 570,8 GB RAM,Version 11,Windows 10 (64-bit),10 GB available space,,Intel Core i7-8700 / AMD Ryzen 5 3600,NVIDIA GeForce GTX 1070 / AMD Radeon RX Vega 56,16 GB RAM,Version 11,Windows 10 (64-bit),10 GB available space,
Wonder Boy: The Dragon's Trap,Any,Intel HD Graphics 4000-5000 series (game in 720p),4 GB RAM,Version 10,Windows 7,1100 MB available space,,Any,NVIDIA GeForce GTX 760,8 GB RAM,Version 11,Windows 10,1100 MB available space,
Wonder Woman,,,,,,,,,,,,,,
Woodcutter Simulator 2013,"2,4 GHz Pentium or compatible","Nvidia Geforce 6800GT, ATI Radeon HD3650",,DirectX9,Windows XP/ Vista / 7 / 8,2GB,Internet connection required,3 GHz,"GTX560, ATI Radeon HD6970",,DirectX9,,2GB,Internet connection required
